,word,vowels_amount,penultimate_word_ending,antepenultimate_word_ending,index
6395,ALLERGY,3,0,1,1
11958,AMITY,3,0,1,1
44973,ATROPHY,3,0,1,1
742,BANKRUPCTY,3,0,1,1
4226,BREVITY,3,0,1,1
19663,CERTAINTY,3,0,1,1
2632,CHARITY,3,0,1,1
39465,CINERGY,3,0,1,1
42325,CLARITY,3,0,1,1
7661,COMITY,3,0,1,1
43751,DAUGHERTY,3,0,1,1
35242,DAUGHETY,3,0,1,1
30048,DEPUTY,3,0,1,1
41816,DIGNITY,3,0,1,1
37591,DOCHERTY,3,0,1,1
36787,DOHERTY,3,0,1,1
32820,DORITY,3,0,1,1
24943,DOUGHERTY,3,0,1,1
28245,DYNASTY,3,0,1,1
30465,DYSTROPHY,3,0,1,1
43087,EFFIGY,3,0,1,1
38699,ENERGY,3,0,1,1
44487,ENTERGY,3,0,1,1
10668,EULOGY,3,0,1,1
12261,FACULTY,3,0,1,1
18024,FAHERTY,3,0,1,1
19832,FALSITY,3,0,1,1
22561,FEALTY,3,0,1,1
37022,FINERTY,3,0,1,1
19563,FINNERTY,3,0,1,1
29704,FLUHARTY,3,0,1,1
10157,FOGARTY,3,0,1,1
19980,FOGERTY,3,0,1,1
2932,GARITY,3,0,1,1
30676,GARRITY,3,0,1,1
36627,GERAGHTY,3,0,1,1
7161,GERRITY,3,0,1,1
28545,GLOTFELTY,3,0,1,1
27055,GRAVITY,3,0,1,1
47804,HAGGARTY,3,0,1,1
11548,HAGGERTY,3,0,1,1
23677,HALFERTY,3,0,1,1
35090,HARRITY,3,0,1,1
14494,HEGARTY,3,0,1,1
8449,HONESTY,3,0,1,1
19849,KENAGY,3,0,1,1
1357,LAFFERTY,3,0,1,1
16123,LAITY,3,0,1,1
26665,LAXITY,3,0,1,1
18582,LIBERTY,3,0,1,1
19823,LICKETY,3,0,1,1
22784,LITURGY,3,0,1,1
25212,LOYALTY,3,0,1,1
45009,MAJESTY,3,0,1,1
35418,NOVELTY,3,0,1,1
5274,ODDITY,3,0,1,1
47674,PARITY,3,0,1,1
35699,POLITY,3,0,1,1
14954,POVERTY,3,0,1,1
39783,PRODIGY,3,0,1,1
12739,QUALITY,3,0,1,1
17487,QUANTITY,3,0,1,1
10657,RAFFERTY,3,0,1,1
