,word,vowels_amount,penultimate_word_ending,antepenultimate_word_ending,index
353,ABDICATION,4,1,0,3
17881,ABERRATION,4,1,0,3
37825,ABNEGATION,4,1,0,3
39578,ACCLAMATION,4,1,0,3
42480,ACCUSATIONS,4,1,0,3
34360,ACQUISITIONS,4,1,0,3
34935,ADAPTATIONS,4,1,0,3
38055,ADMIRATION,4,1,0,3
33238,ADMONITION,4,1,0,3
8099,ADMONITIONS,4,1,0,3
39182,ADORATION,4,1,0,3
29218,ADRIATIC,4,1,0,3
37771,ADULATION,4,1,0,3
6881,ADVOCATION,4,1,0,3
45496,AEROBATIC,4,1,0,3
8938,AFFECTATION,4,1,0,3
22746,AFFRICATION,4,1,0,3
33706,ALCOHOLIC,4,1,0,3
25744,ALLEGATION,4,1,0,3
8154,ALLEGATIONS,4,1,0,3
29446,ALLOCATION,4,1,0,3
21165,ALLOPHONIC,4,1,0,3
33229,ALTERATION,4,1,0,3
21566,ALTERATIONS,4,1,0,3
31483,ALTERCATION,4,1,0,3
10467,ALTRUISTIC,4,1,0,3
22259,AMMUNITION,4,1,0,3
27703,ANABOLIC,4,1,0,3
39426,ANAEROBIC,4,1,0,3
40752,ANALGESIC,4,1,0,3
36186,ANALOGIC,4,1,0,3
47426,ANALYTIC,4,1,0,3
13846,ANNEXATION,4,1,0,3
40633,ANNOTATION,4,1,0,3
49800,ANTISEPTIC,4,1,0,3
5881,APATHETIC,4,1,0,3
6653,APOSTOLIC,4,1,0,3
14554,APPREHENSION,4,1,0,3
29812,APPREHENSIONS,4,1,0,3
28559,ARBITRATION,4,1,0,3
6734,ARITHMETIC,4,1,0,3
49898,AROMATIC,4,1,0,3
29509,ASPIRATIONS,4,1,0,3
6951,ASTRONAUTIC,4,1,0,3
4011,ATHEISTIC,4,1,0,3
39258,ATMOSPHERIC,4,1,0,3
48953,AUGMENTATION,4,1,0,3
45068,AUTOCRATIC,4,1,0,3
47785,AUTONOMIC,4,1,0,3
44952,AVIONIC,4,1,0,3
49137,BACKWARDATION,4,1,0,3
14833,BASOPHILIC,4,1,0,3
44652,BIFURCATION,4,1,0,3
42636,CALCULATIONS,4,1,0,3
22121,CALIBRATION,4,1,0,3
7847,CANCELLATIONS,4,1,0,3
39767,CARBOXYLIC,4,1,0,3
3972,CARBURETION,4,1,0,3
17510,CATATONIC,4,1,0,3
14926,CELEBRATION,4,1,0,3
12199,CELEBRATIONS,4,1,0,3
17872,CENOZOIC,4,1,0,3
2546,CINEMATIC,4,1,0,3
4154,COALITION,4,1,0,3
